Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LTC,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,Status
606,Refinance,Residential,1,74.67%,53.71%,40.83%,10.00%,1566.67,2.00%,1.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,New to Market/Phase,B+,14,1
607,Refinance,Commercial,1,52.75%,52.18%,61.05%,12.00%,11740,1.00%,2.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,< $10 Million,Moderate Experience,B+,14,1
608,Refinance,Multi-Family,8,69.93%,54.93%,280.95%,10.00%,12291.67,1.00%,1.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Moderate Experience,A-,13,5
609,Refinance,Residential,3,70.15%,0.00%,114.57%,13.00%,2470,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
610,Refinance,Residential,2,75.00%,65.00%,106.56%,13.00%,2112.5,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
611,Refinance,Land,0,50.00%,61.97%,78.57%,13.00%,2383.33,3.00%,2.00%,Urban,Low,Ground Up,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
612,Purchase,Multi-Family,11,59.09%,62.43%,75.69%,10.00%,9625,1.00%,0.50%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,A-,12,1
613,Refinance,Mixed Use,6,11.46%,0.00%,193.14%,12.00%,3380,1.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
614,Refinance,Mixed Use,4,2.20%,0.00%,32.00%,12.00%,560,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,13,1
615,Refinance,Multi-Family,86,10.91%,0.00%,100.00%,13.00%,13000,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
616,Purchase,Residential,2,41.48%,58.07%,80.00%,10.00%,6533.33,2.00%,0.75%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
617,Refinance,Residential,1,35.89%,17.28%,54.77%,10.00%,7416.67,1.00%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,8,1
618,Purchase,Multi-Family,16,59.20%,0.00%,84.98%,13.00%,14430,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Experienced,A+,2,1
619,Purchase,Multi-Family,20,60.55%,0.00%,84.98%,13.00%,18037.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Experienced,A+,3,1
620,Purchase,Multi-Family,13,61.83%,0.00%,84.96%,13.00%,11721.67,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Experienced,A+,3,1
621,Purchase,Multi-Family,16,12.31%,0.00%,17.67%,13.00%,3000.83,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Experienced,A+,5,1
622,Purchase,Multi-Family,20,10.98%,0.00%,15.41%,13.00%,3271.67,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Experienced,A+,5,1
623,Purchase,Multi-Family,13,9.77%,0.00%,13.43%,13.00%,1852.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Experienced,A+,5,1
624,Refinance,Land,0,50.00%,61.97%,78.57%,13.00%,2383.33,3.00%,2.00%,Urban,Low,Ground Up,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
625,Purchase,Residential,1,57.08%,65.19%,80.57%,9.85%,9899.25,1.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,1
626,Purchase,Residential,2,80.00%,54.92%,86.39%,13.00%,1755,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
627,Refinance,Commercial,1,46.43%,68.00%,107.72%,11.50%,15640,4.00%,1.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,$41-100 Million,Experienced,A,11,1
628,Refinance,Residential,2,71.19%,0.00%,560.00%,13.00%,2275,3.00%,2.00%,Urban,Low,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
629,Purchase,Residential,2,76.52%,59.03%,89.27%,13.00%,1982.5,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
630,Refinance,Residential,1,70.00%,0.00%,70.00%,10.50%,18375,1.50%,0.00%,Suburban,Moderate,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,11,1
631,Purchase,Residential,2,71.43%,59.33%,92.95%,13.00%,1928.33,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
632,Refinance,Land,0,50.00%,4.47%,46.50%,12.00%,46500,2.00%,0.00%,Suburban,Low,Ground Up,Yes,680-699,High Acceptable,$200 Million +,Very Experienced,A,8,1
633,Purchase,Multi-Family,5,64.75%,66.32%,79.70%,10.00%,5250,1.50%,1.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
634,Refinance,Residential,3,70.00%,61.66%,89.98%,10.00%,13616.67,2.50%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,10
635,Refinance,Multi-Family,6,65.02%,61.45%,109.84%,10.00%,17666.67,1.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
636,Purchase,Multi-Family,152,84.99%,64.89%,86.82%,13.00%,48750,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,9,1
637,Purchase,Multi-Family,10,71.25%,39.00%,78.00%,10.50%,1023.75,2.00%,1.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,B+,15,1
638,Purchase,Multi-Family,217,85.00%,60.43%,90.60%,13.00%,58922.5,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,9,1
639,Purchase,Multi-Family,63,84.95%,64.97%,85.13%,13.00%,20236.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$101-200 Million,Very Experienced,A,10,1
640,Refinance,Residential,33,74.31%,0.00%,69.00%,9.50%,19118.75,2.50%,0.00%,Suburban,Hign,Stabilized,No,700-759,Good,$41-100 Million,Experienced,A,9,1
641,Refinance,Residential,1,70.00%,65.00%,63.45%,9.75%,9506.25,1.00%,0.75%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,10
642,Refinance,Residential,1,65.93%,0.00%,54.77%,10.00%,1483.33,1.50%,1.25%,Urban,Hign,Stabilized,No,700-759,Good,< $10 Million,Moderate Experience,A,10,1
643,Purchase,Residential,1,71.11%,51.87%,73.24%,10.00%,10633.33,2.00%,0.25%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,B+,14,1
644,Refinance,Residential,1,69.57%,0.00%,100.00%,8.50%,2833.33,0.00%,0.00%,Suburban,Hign,Stabilized,No,700-759,Good,$10-40 Million,Experienced,A,10,1
645,Purchase,Residential,2,72.86%,66.90%,85.00%,10.00%,8641.67,0.75%,1.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$200 Million +,Very Experienced,A+,6,1
646,Refinance,Land,0,49.33%,65.08%,683.33%,12.00%,2050,2.00%,2.00%,Urban,Low,Ground Up,No,650-679,Low Acceptable,$10-40 Million,Experienced,A-,12,1
647,Refinance,Multi-Family,6,8.47%,0.00%,7.81%,12.00%,2500,1.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,11,1
648,Refinance,Multi-Family,277,3.03%,8.37%,24.08%,13.00%,23833.33,3.00%,0.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
649,Refinance,Land,0,46.69%,48.85%,127.00%,12.00%,25400,2.00%,2.00%,Urban,Low,Ground Up,Yes,760-850,Excellent,$41-100 Million,Experienced,A,8,1
650,Refinance,Residential,1,69.84%,0.00%,687.50%,13.00%,2383.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
651,Refinance,Residential,2,69.84%,0.00%,157.14%,13.00%,2383.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
652,Refinance,Residential,1,40.00%,54.74%,52.93%,10.00%,15966.67,1.00%,1.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,$41-100 Million,Very Experienced,A,8,1
653,Refinance,Residential,1,69.82%,64.63%,67.06%,10.50%,4523.75,5.00%,0.50%,Suburban,Low,Value-Add,No,760-850,Excellent,< $10 Million,Moderate Experience,B+,14,6
654,Refinance,Residential,1,70.00%,64.80%,71.16%,10.50%,4252.5,5.00%,0.50%,Suburban,Low,Value-Add,No,760-850,Excellent,< $10 Million,Moderate Experience,B+,14,1
655,Purchase,Land,0,32.50%,0.00%,65.00%,12.00%,5200,3.00%,2.00%,Urban,Low,Ground Up,Yes,760-850,Excellent,$200 Million +,Very Experienced,A+,4,1
656,Refinance,Land,0,48.98%,0.00%,53.80%,11.75%,6834.58,1.75%,1.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,10,4
657,Refinance,Land,0,49.97%,0.00%,49.99%,11.75%,19328.75,1.75%,1.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,11,4
658,Refinance,Land,0,49.00%,0.00%,51.48%,11.75%,12954.38,1.75%,1.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,10,4
659,Refinance,Land,0,48.97%,0.00%,56.11%,11.75%,9351.04,1.75%,1.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,10,4
660,Refinance,Residential,2,69.86%,0.00%,150.63%,13.00%,2610.83,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
661,Refinance,Residential,2,70.16%,0.00%,182.13%,13.00%,2318.33,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
662,Refinance,Residential,4,80.12%,58.12%,14.25%,11.75%,12905.42,2.00%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$101-200 Million,Experienced,A-,12,1
663,Refinance,Residential,1,79.97%,65.45%,13.75%,11.75%,12455,2.00%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$101-200 Million,Experienced,A-,12,1
664,Refinance,Residential,1,79.97%,65.45%,13.75%,11.75%,12455,2.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Experienced,A,10,1
665,Refinance,Residential,1,79.97%,65.45%,13.75%,11.75%,12455,2.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Experienced,A,10,1
666,Refinance,Residential,1,79.97%,65.45%,50.44%,11.75%,12455,2.00%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$101-200 Million,Experienced,A-,12,1
667,Refinance,Residential,1,47.04%,23.27%,72.61%,10.00%,10250,0.27%,1.00%,Urban,Low,Ground Up,Yes,760-850,Excellent,$10-40 Million,Experienced,A,0,1
668,Refinance,Residential,1,13.77%,0.00%,17.90%,12.00%,8950,1.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,11,1
669,Refinance,Residential,3,74.78%,58.77%,148.30%,13.00%,2069.17,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
670,Refinance,Residential,2,74.78%,50.32%,145.78%,13.00%,1690,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
671,Refinance,Multi-Family,6,58.06%,36.73%,29.85%,10.00%,7500,1.25%,1.00%,Urban,Moderate,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,8,1
672,Purchase,Multi-Family,12,30.67%,32.25%,56.82%,10.00%,12941.67,1.00%,0.00%,Urban,Low,Value-Add,No,650-679,Low Acceptable,$41-100 Million,Very Experienced,A,10,1
673,Purchase,Multi-Family,10,30.67%,32.25%,56.82%,10.00%,12941.67,1.00%,0.00%,Urban,Low,Value-Add,No,650-679,Low Acceptable,$41-100 Million,Very Experienced,A,10,1
674,Refinance,Multi-Family,6,70.10%,55.05%,3020.48%,13.00%,6261.67,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
675,Refinance,Residential,2,74.78%,52.00%,183.01%,13.00%,1690,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Experienced,A,9,1
676,Purchase,Residential,1,75.38%,59.83%,79.65%,10.00%,11966.67,1.50%,1.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
677,Purchase,Residential,1,75.45%,55.43%,71.83%,11.00%,1521.67,2.00%,1.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B-,17,1
678,Refinance,Residential,3,70.00%,64.29%,39.65%,10.50%,1968.75,1.50%,0.00%,Rural,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,C+,18,1
679,Refinance,Residential,1,44.29%,24.08%,64.05%,10.00%,10333.33,1.00%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,8,1
680,Refinance,Multi-Family,42,70.00%,48.62%,53.23%,13.00%,43983.33,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Experienced,A-,13,1
681,Refinance,Multi-Family,42,8.62%,16.35%,14.78%,13.00%,14787.5,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
682,Refinance,Multi-Family,8,71.07%,61.79%,76.00%,9.25%,14645.83,2.00%,0.25%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,10
683,Purchase,Residential,2,50.32%,51.02%,76.83%,10.00%,18708.33,1.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
684,Purchase,Residential,1,70.00%,0.00%,62.75%,10.00%,13125,1.00%,1.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A-,12,10
685,Purchase,Residential,4,74.07%,59.66%,78.30%,10.00%,11683.33,1.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Moderate Experience,A-,13,1
686,Refinance,Commercial,1,49.77%,0.00%,50.00%,11.00%,14666.67,1.25%,2.00%,Urban,Low,Value-Add,No,760-850,Excellent,< $10 Million,Moderate Experience,A,11,1
687,Refinance,Residential,1,70.00%,0.00%,172.13%,9.50%,4156.25,1.50%,0.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,B+,15,1
688,Purchase,Residential,1,69.89%,0.00%,96.09%,10.00%,5125,2.00%,1.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,9,10
689,Refinance,Residential,1,69.62%,65.05%,75.93%,12.00%,1210,1.50%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,B,16,1
690,Refinance,Residential,1,70.00%,64.52%,83.50%,12.00%,1000,1.50%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,B,16,11
691,Purchase,Mixed Use,4,42.00%,0.00%,75.00%,12.00%,1050,1.50%,2.00%,Suburban,Hign,Stabilized,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,A,11,1
692,Refinance,Multi-Family,31,78.21%,65.25%,86.21%,13.00%,21558.33,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
693,Refinance,Multi-Family,31,78.21%,65.25%,86.21%,13.00%,21558.33,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
694,Refinance,Multi-Family,31,78.21%,65.25%,86.21%,13.00%,21558.33,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
695,Refinance,Multi-Family,31,78.21%,65.25%,86.21%,13.00%,21558.33,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
696,Refinance,Multi-Family,31,79.00%,65.07%,81.75%,13.00%,20442.5,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
697,Refinance,Multi-Family,31,79.00%,65.07%,81.75%,13.00%,20442.5,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
698,Refinance,Multi-Family,30,79.00%,65.20%,79.74%,13.00%,19424.17,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
699,Refinance,Multi-Family,30,78.97%,65.14%,81.12%,13.00%,19760,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
700,Refinance,Multi-Family,30,78.98%,64.62%,78.31%,13.00%,19077.5,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
701,Purchase,Commercial,2,53.69%,0.00%,72.00%,11.25%,7425,1.29%,2.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,A-,12,1
702,Purchase,Commercial,1,54.92%,59.85%,75.87%,13.00%,8753.33,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
703,Refinance,Land,0,50.00%,0.00%,79.67%,12.00%,11950,3.00%,2.00%,Urban,Low,Ground Up,No,760-850,Excellent,$41-100 Million,Experienced,A,9,1
704,Purchase,Land,0,49.98%,0.00%,51.37%,12.00%,13870,3.00%,2.00%,Urban,Low,Ground Up,No,760-850,Excellent,$41-100 Million,Experienced,A,9,1
705,Purchase,Residential,1,70.00%,0.00%,86.15%,10.00%,2333.33,2.50%,1.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A+,7,10
706,Purchase,Residential,1,50.00%,50.70%,71.54%,10.00%,7500,1.00%,1.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A,10,1
707,Refinance,Residential,1,69.57%,0.00%,53.33%,11.00%,733.33,3.00%,2.00%,Suburban,Low,Stabilized,Yes,680-699,High Acceptable,$10-40 Million,Experienced,A-,13,1
708,Purchase,Mixed Use,23,50.00%,0.00%,15.97%,11.75%,10770.83,3.00%,2.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$41-100 Million,Experienced,A,10,1
709,Purchase,Commercial,1,64.92%,0.00%,64.92%,12.00%,38300,2.00%,2.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,$41-100 Million,Experienced,A-,12,10
710,Purchase,Residential,4,64.17%,66.00%,73.29%,10.00%,6875,1.00%,1.00%,Urban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Experienced,A-,12,1
711,Refinance,Commercial,1,31.63%,8.78%,19.61%,12.00%,46250,2.00%,2.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,$41-100 Million,Very Experienced,A,9,1
712,Refinance,Commercial,1,49.58%,22.70%,18.63%,12.00%,42000,2.00%,2.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,$41-100 Million,Very Experienced,A,10,1
713,Refinance,Multi-Family,33,72.59%,59.83%,65.14%,13.00%,38566.67,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,7
714,Refinance,Residential,1,75.00%,66.25%,45.69%,10.00%,2208.33,2.00%,0.50%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,$10-40 Million,Experienced,B+,15,1
715,Purchase,Mixed Use,11,66.96%,33.61%,80.00%,10.00%,18833.33,1.00%,1.00%,Urban,Low,Value-Add,No,760-850,Excellent,$41-100 Million,Experienced,A,9,1
716,Purchase,Residential,1,39.60%,43.08%,81.24%,9.85%,16851.71,1.00%,0.85%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,9,1
717,Refinance,Residential,1,59.20%,62.23%,75.97%,12.00%,27600,3.00%,2.00%,Urban,Low,Ground Up,No,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
718,Refinance,Multi-Family,100,69.95%,46.37%,51.78%,11.00%,40379.17,1.50%,0.00%,Urban,Low,Value-Add,No,700-759,Good,$41-100 Million,Experienced,A,11,1
719,Purchase,Residential,1,79.10%,74.98%,78.70%,9.00%,7732.5,1.00%,0.25%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,11,1
720,Refinance,Residential,1,62.14%,33.79%,59.77%,10.00%,14500,1.00%,1.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,10,1
721,Refinance,Residential,1,66.16%,32.73%,66.16%,10.00%,14416.67,1.00%,1.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,10,1
722,Refinance,Residential,1,50.00%,57.14%,80.00%,13.00%,2166.67,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
723,Purchase,Multi-Family,12,80.00%,66.96%,67.50%,13.00%,9067.5,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
724,Purchase,Multi-Family,14,50.00%,59.70%,73.29%,10.25%,5099.38,2.00%,0.25%,Urban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B+,14,1
725,Purchase,Multi-Family,8,64.73%,57.93%,79.15%,10.00%,18633.33,2.25%,1.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$41-100 Million,Experienced,A,11,1
726,Refinance,Residential,1,70.00%,62.71%,160.34%,9.25%,10876.46,1.50%,0.25%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,1
727,Refinance,Commercial,1,62.99%,0.00%,169.23%,12.00%,44000,1.25%,2.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,$41-100 Million,Experienced,A-,12,6
728,Purchase,Residential,2,77.27%,0.00%,85.00%,9.25%,4586.46,2.00%,0.25%,Urban,Hign,Stabilized,Yes,700-759,Good,$41-100 Million,Experienced,A,8,1
729,Purchase,Multi-Family,48,68.89%,46.10%,74.84%,10.25%,3681.46,1.50%,1.25%,Urban,Moderate,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A,10,1
730,Refinance,Residential,1,70.00%,52.88%,45.88%,13.00%,1690,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
731,Refinance,Residential,2,70.00%,53.85%,46.05%,13.00%,1895.83,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
732,Refinance,Residential,1,70.43%,57.88%,49.61%,13.00%,2069.17,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
733,Refinance,Multi-Family,8,55.86%,58.72%,77.89%,9.85%,15784.63,2.25%,0.85%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
734,Refinance,Residential,1,70.00%,0.00%,58.98%,9.50%,3380.42,2.00%,0.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B+,15,1
735,Purchase,Residential,1,72.80%,50.56%,75.05%,10.00%,3033.33,2.50%,0.50%,Urban,Low,Value-Add,No,680-699,High Acceptable,< $10 Million,Moderate Experience,B+,15,1
736,Refinance,Multi-Family,8,68.92%,64.23%,61.79%,10.50%,39200,2.00%,0.00%,Urban,Low,Value-Add,No,760-850,Excellent,$41-100 Million,Experienced,A,10,1
737,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
738,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
739,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
740,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
741,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
742,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
743,Refinance,Multi-Family,24,79.48%,66.33%,82.92%,13.00%,17246.67,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
744,Purchase,Multi-Family,84,41.11%,48.72%,82.45%,13.00%,38263.33,3.00%,2.00%,Suburban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
745,Refinance,Mixed Use,10,70.00%,65.40%,112.00%,10.50%,39200,2.00%,0.75%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Moderate Experience,A-,13,1
746,Refinance,Residential,1,74.96%,58.43%,76.43%,9.25%,18014.38,2.50%,0.25%,Suburban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A-,13,1
747,Purchase,Residential,1,80.00%,54.86%,80.00%,9.50%,760,2.00%,0.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,B,16,1
748,Purchase,Residential,1,64.00%,38.10%,79.57%,9.50%,633.33,2.00%,0.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B,16,1
749,Refinance,Residential,1,75.08%,0.00%,83.27%,13.00%,2480.83,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
750,Purchase,Multi-Family,7,57.00%,58.63%,73.53%,10.00%,13925,1.50%,1.00%,Urban,Low,Value-Add,No,680-699,High Acceptable,< $10 Million,Moderate Experience,A-,13,1
751,Purchase,Mixed Use,4,28.00%,25.25%,59.55%,9.50%,3047.92,1.00%,0.50%,Urban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Experienced,A,10,1
752,Refinance,Residential,2,49.00%,32.67%,34.63%,9.50%,3879.17,1.50%,0.75%,Urban,Low,Value-Add,No,760-850,Excellent,$10-40 Million,Experienced,A,8,1
