Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LT2,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,target
238,0,2,6,64.97,0.00,63.65,13.00,5102.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
239,0,2,68,67.45,54.04,99.27,13.00,52693.33,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
240,1,2,6,80.00,64.52,59.75,10.00,16666.67,2.00,0.00,0,0,0,0,5,4,2,2,8-,12,1
241,0,2,10,70.00,64.54,80.00,10.00,19900,2.00,0.00,0,0,0,1,4,6,1,2,8,11,1
242,1,0,1,76.31,63.15,80.03,10.50,2458.75,3.00,0.00,1,0,0,0,3,03,0,3,5-,17,1
243,0,2,16,73.11,64.96,99.93,10.00,24358.33,2.00,0.00,0,0,0,1,4,23,1,2,8-,13,1
244,0,3,1,67.81,65.00,53.53,12.00,2730,3.00,2.00,1,0,0,0,6,6,2,2,8,10,8
245,1,2,15,42.55,61.91,91.68,12.00,21050,1.50,0.00,0,0,0,1,6,6,1,2,8,8,1
246,0,1,5,71.43,60.98,83.33,10.00,20833.33,2.00,0.00,0,1,0,1,4,23,2,2,8,11,1
247,1,1,7,80.00,62.37,77.23,10.00,12733.33,2.00,0.00,0,0,0,1,5,4,2,2,8-,12,1
248,1,2,57,75.00,49.62,43.88,10.00,26875,1.25,0.00,0,0,0,1,5,4,2,2,8,11,1
249,1,0,1,90.67,66.85,65.07,12.00,2440,2.00,2.00,0,0,0,0,4,23,0,3,5,16,1
250,1,0,2,46.15,28.85,26.79,12.00,1500,0.00,2.00,1,0,0,0,4,23,0,3,8,11,1
251,1,0,1,80.00,65.93,79.79,9.50,2375,1.00,0.00,1,0,0,1,3,03,2,2,6,15,1
252,1,2,35,76.21,65.00,18.42,10.00,18416.67,2.00,0.00,0,0,0,1,4,23,2,2,8-,12,1
253,1,0,1,77.67,66.77,67.00,10.00,3450,1.00,0.00,1,0,0,1,6,6,0,3,6,14,1
254,1,0,1,70.00,0.00,100.00,10.50,18375,3.00,0.00,1,1,1,0,5,4,0,3,8-,13,11
255,1,1,3,79.38,0.00,54.81,10.00,8600,1.00,0.00,0,0,0,1,5,4,1,2,8-,12,1
256,0,0,1,10.74,0.00,0.00,9.50,6333.33,0.00,0.00,0,2,1,1,5,4,1,2,8,10,1
257,0,0,1,70.00,44.21,70.00,9.50,6650,0.00,0.00,0,0,0,1,5,4,2,2,8,11,1
258,1,0,1,80.00,65.05,68.91,10.00,2900,1.00,0.00,1,0,0,1,6,6,0,2,8-,13,1
259,1,3,1,68.42,65.00,56.52,12.00,26000,2.50,2.00,0,0,0,0,4,23,1,2,8-,12,1
260,1,0,1,74.29,57.78,44.31,9.50,8233.33,0.00,0.00,0,0,0,1,5,4,2,4,8,10,1
261,0,0,1,70.00,0.00,73.44,11.50,3152.92,2.00,1.00,1,2,1,0,5,4,0,3,8-,12,1
262,0,1,7,76.32,65.00,281.00,10.00,20583.33,0.00,0.00,0,0,0,0,5,4,2,2,8,11,10
263,0,2,42,54.29,54.46,41.48,12.00,35400,5.25,2.00,0,0,0,1,5,4,4,4,9,5,1
264,1,0,1,80.00,63.08,54.67,12.00,1230,4.00,0.50,1,0,0,0,3,03,0,3,3,18,1
265,1,1,6,80.00,63.60,68.66,10.00,5300,0.00,0.00,1,0,0,1,6,6,0,3,6,15,1
266,1,0,1,66.22,55.85,59.33,13.00,2480.83,3.00,2.00,1,0,0,1,5,4,4,4,9,7,1
267,0,0,3,63.64,0.00,83.33,13.00,1895.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
268,1,0,1,82.31,61.26,63.89,10.00,10975,2.00,0.00,0,0,0,1,6,6,1,2,8,10,1
269,1,2,8,65.00,64.06,56.15,10.00,17083.33,2.50,0.00,0,0,0,1,4,23,1,2,8-,12,1
270,0,0,3,65.10,0.00,80.98,13.00,1798.33,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
271,0,0,3,65.10,0.00,76.32,13.00,1798.33,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
272,0,3,1,70.00,0.00,0.00,12.00,5950,2.50,2.00,1,2,1,0,3,03,2,2,8,11,1
273,0,1,13,29.09,22.86,0.00,12.00,6400,0.00,2.00,0,0,0,1,5,4,2,4,8,11,1
274,0,0,1,50.00,28.57,0.00,12.00,1500,2.00,2.00,0,0,0,0,3,03,1,2,8-,12,1
275,1,2,28,68.91,0.00,68.91,10.50,1610,2.50,0.00,1,2,1,0,5,4,0,3,8,10,1
276,1,0,1,69.57,32.00,34.60,10.00,13333.33,2.00,0.00,0,0,0,0,6,6,1,2,8,10,1
277,0,0,1,70.00,60.94,229.41,10.50,8531.25,1.00,0.00,0,0,0,0,4,23,1,2,8-,13,10
278,0,0,1,69.98,0.00,73.00,11.00,13951.67,4.00,1.00,0,2,1,0,3,03,1,2,8,11,10
279,0,2,8,79.53,62.92,86.01,12.00,14000,1.00,2.00,0,0,0,1,5,4,1,2,8-,13,1
280,0,1,11,16.18,33.33,40.00,12.00,10000,2.00,2.00,0,0,0,1,6,6,1,2,8-,12,1
281,1,1,4,79.39,68.57,80.38,9.50,4750,0.00,0.00,0,0,0,1,5,4,1,2,8-,12,1
282,1,2,72,46.00,12.78,76.67,12.00,23000,2.00,0.00,0,0,0,1,5,4,2,2,8,8,1
283,1,0,3,80.00,58.33,57.03,10.00,2333.33,2.00,0.00,0,0,0,0,5,4,2,2,8-,12,1
284,1,0,2,83.51,65.00,61.17,10.50,3412.5,0.00,0.00,0,0,0,1,6,6,2,2,8,11,1
285,0,2,11,65.17,65.04,92.97,10.00,40650,2.00,0.00,0,0,0,1,5,4,1,2,8,11,10
286,1,0,3,64.00,65.00,61.28,10.00,2600,2.00,0.00,0,0,0,0,5,6,2,2,8,9,1
287,0,0,1,77.66,65.00,69.13,10.00,2491.67,2.75,0.00,0,0,0,0,5,4,0,2,8-,12,1
288,1,2,8,74.87,56.15,68.71,4.75,11558.33,0.00,0.00,0,0,0,1,4,23,2,4,8,11,1
289,0,2,30,70.79,65.36,48.86,12.00,32680,4.25,2.00,0,0,0,1,5,4,3,4,8,8,1
290,0,2,30,64.73,63.36,79.94,12.00,31680,4.25,2.00,0,0,0,1,5,4,4,4,9,6,1
291,0,0,4,66.76,55.56,61.48,10.00,13958.33,1.00,0.00,0,0,0,1,6,6,2,4,9,7,1
292,1,0,3,79.17,47.50,80.00,9.50,15041.67,1.00,0.00,0,0,0,1,6,6,1,2,8,11,1
293,0,2,7,70.00,33.90,49.00,11.00,3666.67,3.00,1.00,1,1,0,1,3,03,2,2,8-,13,1
294,1,0,1,56.40,55.70,78.21,10.00,6916.67,1.00,0.00,1,0,0,0,3,03,0,3,6,15,1
295,1,2,7,80.00,64.49,64.93,10.00,4783.33,1.00,0.00,0,0,0,1,6,4,1,4,8-,13,1
296,0,2,6,74.99,65.00,1023.75,10.00,34125,1.00,0.00,0,0,0,0,5,4,2,2,8,11,1
297,0,0,1,8.57,6.00,36.59,12.00,3000,2.00,0.00,0,0,0,0,5,4,2,4,8,11,1
298,0,0,2,65.09,0.00,72.32,13.00,1939.17,3.00,2.00,0,0,0,1,5,4,3,4,9,7,1
299,0,0,2,67.55,0.00,73.97,13.00,1939.17,3.00,2.00,0,0,0,1,5,4,3,4,9,7,1
300,0,0,3,68.42,0.00,73.86,13.00,2112.5,3.00,2.00,0,0,0,1,5,4,3,4,9,7,1
301,0,0,3,67.86,0.00,71.16,13.00,2058.33,3.00,2.00,0,0,0,1,5,4,3,4,9,7,1
302,0,0,3,65.09,0.00,71.03,13.00,1939.17,3.00,2.00,0,0,0,1,5,4,3,4,9,5,1
303,1,1,3,64.91,47.74,64.91,10.00,3083.33,0.00,0.00,0,0,0,0,5,4,1,2,8,11,1
304,1,0,3,64.00,26.67,80.00,9.50,5066.67,2.00,0.00,0,0,0,1,6,6,1,2,8,10,1
305,0,0,1,64.88,64.99,55.64,12.00,54270,2.00,2.00,0,0,0,0,5,4,2,2,8,10,1
306,1,0,1,80.00,22.50,80.00,9.50,2850,1.50,0.00,0,0,0,1,5,4,1,2,6,13,1
307,1,1,9,80.00,67.30,70.01,10.00,7066.67,2.00,0.00,0,2,1,1,5,4,0,2,8,11,1
308,0,2,6,75.00,18.75,34.91,10.00,5000,1.00,0.00,0,0,0,1,5,4,2,4,8,9,1
309,0,1,5,4.03,3.66,5.17,12.00,1500,0.00,2.00,0,0,0,1,5,4,1,2,8-,13,1
310,1,2,6,77.95,70.67,62.35,10.00,17666.67,1.00,0.00,0,0,0,1,5,4,0,3,6,14,1
311,1,0,1,80.00,53.60,62.33,9.50,21216.67,0.00,0.00,0,0,0,1,5,4,2,4,8,10,1
312,0,0,1,74.63,65.00,222.98,9.50,20583.33,0.00,0.00,0,0,0,1,5,4,2,4,8,9,1
313,0,2,24,67.31,62.05,49.57,12.00,27300,2.00,2.00,0,0,0,1,5,4,4,4,9,7,1
314,0,2,56,62.90,49.67,51.06,12.00,49670,3.25,2.00,0,0,0,1,5,4,4,4,9,5,1
315,0,2,54,57.83,48.15,50.48,12.00,48150,1.00,2.00,0,0,0,1,5,4,4,4,9,5,1
316,1,3,1,76.00,61.00,82.71,12.00,24400,2.50,2.00,0,0,0,0,4,23,1,2,8-,13,10
317,1,0,3,78.46,63.05,65.01,10.00,11033.33,2.50,0.00,0,0,0,1,4,23,0,3,6,15,1
318,0,2,8,51.57,63.36,80.53,12.00,36750,2.00,2.00,0,0,0,1,4,23,2,2,8,10,1
319,0,0,1,5.63,5.26,10.75,12.00,2000,0.00,2.00,0,0,0,0,5,4,0,3,6,15,10
320,0,0,3,65.09,0.00,78.42,13.00,1939.17,3.00,2.00,0,0,1,1,5,4,3,4,9,6,1
321,0,1,6,65.33,65.00,90.37,12.00,26000,2.50,2.00,0,0,0,0,6,6,1,2,8,10,1
322,0,0,3,65.16,0.00,87.83,13.00,2188.33,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
323,0,0,1,68.00,0.00,68.69,13.00,1841.67,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
324,0,0,2,65.17,0.00,76.36,13.00,2047.5,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
325,0,0,1,65.00,0.00,36.34,13.00,4929.17,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
326,0,0,1,65.00,0.00,78.79,13.00,2112.5,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
327,0,0,1,68.33,65.23,42.66,13.00,2296.67,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
328,0,0,1,67.72,0.00,77.98,13.00,2090.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
329,0,0,1,65.00,0.00,73.54,13.00,1971.67,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
330,0,0,1,67.72,0.00,77.98,13.00,2090.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
331,0,0,1,66.10,0.00,78.79,13.00,2112.5,3.00,2.00,0,0,0,1,5,4,4,4,9,4,1
332,0,0,4,68.06,0.00,54.44,13.00,2654.17,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
333,0,0,1,65.96,0.00,75.96,13.00,2036.67,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
334,0,0,1,66.10,0.00,78.79,13.00,2112.5,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
335,0,0,1,68.13,0.00,80.74,13.00,2361.67,3.00,2.00,0,0,0,1,5,4,4,4,9,4,1
336,0,0,1,67.72,0.00,77.98,13.00,2090.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
337,0,0,1,65.00,0.00,39.91,13.00,4929.17,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
338,1,1,3,64.88,0.00,74.91,10.00,3433.33,0.00,0.00,0,1,0,0,5,4,0,2,8,11,1
339,0,0,1,31.03,18.75,26.79,10.00,7500,1.00,0.00,0,0,0,1,5,4,2,4,8,9,1
340,1,0,1,62.50,55.56,23.12,10.00,16666.67,0.75,0.00,0,0,0,1,4,23,2,4,8,9,1
341,0,0,1,65.00,0.00,367.92,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
342,0,0,1,61.90,0.00,36.11,13.00,2816.67,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
343,0,0,1,61.90,0.00,36.11,13.00,3520.83,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
344,0,0,1,64.98,0.00,37.42,13.00,4864.17,3.00,2.00,0,2,1,1,5,6,4,4,9,2,1
345,0,0,1,68.21,0.00,44.52,13.00,7041.67,1.00,2.00,0,2,1,1,5,4,4,4,9,3,1
346,0,0,1,65.09,0.00,72.32,13.00,1939.17,1.00,2.00,0,2,1,1,5,4,4,4,9,3,1
347,0,0,1,65.63,0.00,43.30,13.00,2275,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
348,0,0,1,65.08,0.00,44.14,13.00,2080,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
349,0,0,1,64.99,0.00,44.10,13.00,5470.83,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
350,0,0,3,65.63,0.00,77.78,13.00,2275,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
351,0,0,1,65.63,0.00,41.18,13.00,2275,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
352,0,0,1,65.63,0.00,44.21,13.00,2275,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
353,0,0,1,14.65,5.06,20.05,12.00,20000,1.00,2.00,0,0,0,1,5,4,4,4,9,6,1
354,1,2,6,80.00,66.09,61.79,10.00,12666.67,1.00,0.00,0,0,0,0,5,4,0,3,6,15,1
355,0,0,1,61.90,0.00,42.39,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
356,0,0,1,61.90,0.00,42.39,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
357,0,0,3,60.94,0.00,38.92,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
358,0,0,3,65.00,0.00,78.79,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
359,0,0,1,63.93,0.00,72.22,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
360,0,0,3,61.90,0.00,72.22,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
361,0,0,3,62.90,0.00,72.22,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
362,0,0,3,65.00,0.00,72.22,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
363,0,0,1,65.00,0.00,227.50,13.00,1971.67,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
364,0,0,3,62.90,0.00,71.43,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
365,0,0,1,60.94,0.00,72.22,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
366,0,0,1,61.90,0.00,40.54,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
367,1,3,1,70.72,63.44,67.65,12.00,14400,2.50,2.00,0,0,0,1,5,4,1,2,8-,12,1
368,1,2,6,80.00,64.00,64.75,10.00,18400,0.75,0.00,0,0,0,1,4,23,1,2,6,14,1
369,1,0,1,50.00,0.00,50.00,12.00,4250,2.00,2.00,0,0,0,1,5,4,1,2,8,10,1
370,0,0,1,44.62,0.00,69.05,10.00,1208.33,1.00,0.00,1,2,1,0,5,4,0,3,8,9,1
371,1,0,1,78.60,68.95,62.18,9.50,31112.5,1.00,0.00,1,0,0,1,5,4,1,2,8-,13,1
372,1,2,100,75.65,38.42,35.11,12.00,49950,0.00,2.00,1,0,0,1,4,23,3,4,8,10,1
373,1,0,1,65.45,52.17,61.02,10.00,1500,3.00,0.00,1,0,0,0,5,4,0,3,6,14,1
374,0,3,32,66.58,0.00,86.21,10.00,29850,2.00,0.00,1,2,1,0,3,03,3,4,9,7,6
375,1,2,88,105.44,69.95,30.75,12.00,27420,0.00,2.00,1,0,0,1,5,4,4,4,8,9,1
376,1,2,80,108.21,51.92,68.10,12.00,18510,0.00,2.00,1,0,0,1,5,4,3,4,8,9,1
377,0,0,1,80.00,68.00,919.67,10.00,18700,3.00,0.00,1,0,0,0,5,4,2,2,8-,13,10
378,1,2,8,68.94,65.00,98.91,9.50,18010.42,1.00,0.00,0,0,0,1,4,23,2,4,8,9,1
379,1,1,2,80.00,42.00,87.39,12.00,21000,0.00,2.00,0,0,0,1,5,4,4,4,8,8,1
380,0,4,0,46.43,13.00,18.54,12.00,6500,3.00,2.00,0,0,0,0,3,03,1,2,8,9,1
381,1,2,6,80.00,68.99,58.80,9.50,18295.42,2.00,0.00,0,0,0,1,5,4,1,2,8-,13,1
382,1,2,8,80.00,19.39,25.62,9.50,5066.67,2.00,0.00,0,0,0,1,5,4,2,2,8-,12,1
383,0,2,10,54.23,65.00,141.30,12.00,16250,2.00,2.00,0,0,0,1,5,4,1,2,8,10,1
384,0,0,1,68.00,0.00,25.27,13.00,2578.33,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
385,0,0,1,65.09,0.00,44.75,13.00,1939.17,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
386,0,0,1,65.03,0.00,65.03,13.00,6164.17,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
387,0,0,1,62.90,0.00,70.21,13.00,2112.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
388,0,0,1,65.09,0.00,48.31,13.00,1939.17,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
389,0,0,1,58.10,0.00,47.75,13.00,5633.33,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
390,0,0,1,60.68,0.00,73.81,13.00,1939.17,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
391,0,0,1,61.72,0.00,76.41,13.00,1939.17,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
392,0,0,3,55.94,0.00,60.88,13.00,1939.17,0.00,2.00,0,0,0,1,5,4,4,4,9,4,1
393,1,2,6,78.08,66.00,74.67,10.00,8800,1.00,0.00,0,0,0,1,5,4,0,3,8-,13,1
394,1,0,1,62.18,0.00,71.45,10.00,29533.33,4.00,0.00,1,0,0,0,5,4,1,2,8-,12,1
395,1,3,1,78.07,15.38,17.41,12.00,7690,3.00,2.00,1,0,0,0,6,6,2,2,8,11,1
396,0,2,16,53.85,14.29,0.00,9.50,5541.67,0.10,0.00,0,0,0,1,4,23,2,4,9,7,1
397,1,0,3,38.06,40.94,72.58,10.00,2183.33,3.00,0.00,0,0,0,0,6,6,1,2,9,6,1
398,1,4,0,49.60,0.00,50.00,12.00,50000,4.25,2.00,1,0,0,1,5,4,4,4,9,5,7
399,0,0,3,83.20,43.33,0.00,12.00,2080,0.00,2.00,0,0,0,1,5,4,4,4,8,8,1
400,0,1,38,68.97,63.49,86.96,13.00,43333.33,1.00,2.00,0,0,0,1,5,4,4,4,9,6,1
401,0,3,1,32.40,0.00,600.00,10.00,37500,2.00,0.00,1,0,0,1,3,03,2,4,8,9,1
402,0,1,10,70.00,61.43,107.50,10.00,35833.33,2.00,0.00,0,0,0,0,6,6,2,2,8,10,1
403,1,0,1,79.31,53.71,52.81,10.00,783.33,7.98,0.00,0,0,0,0,5,4,0,3,6,14,1
404,0,1,2,67.74,0.00,0.00,12.00,2100,5.00,2.00,0,1,1,0,3,03,0,3,8-,13,11
405,1,0,2,37.00,0.00,127.59,10.00,6166.67,1.75,0.00,0,0,0,1,6,6,1,2,8,8,1
406,1,3,1,17.39,0.00,17.49,9.50,12666.67,1.00,0.00,0,2,1,0,6,6,1,2,9,5,1
407,0,2,8,10.48,15.45,100.00,4.75,3364.58,0.10,0.00,0,0,0,1,5,4,2,4,8,11,1
408,1,0,2,77.46,66.05,77.81,10.00,2366.67,2.00,0.00,0,0,0,0,4,23,2,2,8-,12,1
409,0,0,1,69.00,0.00,115.00,10.00,2875,2.00,0.00,0,0,0,0,6,6,0,2,8,11,1
410,0,2,6,22.22,0.00,160.00,10.75,1075,3.00,0.00,1,0,0,1,4,03,2,2,8-,13,1
411,0,0,1,29.44,0.00,272.00,10.75,609.17,5.88,0.00,1,2,1,1,4,03,2,2,8,10,1
412,0,2,20,50.00,0.00,29.55,13.00,3520.83,3.00,2.00,0,0,0,1,5,4,4,4,9,5,1
413,0,2,30,50.00,15.84,48.48,13.00,8666.67,1.00,2.00,0,0,0,1,5,4,4,4,9,5,1
414,0,2,30,50.00,15.84,48.48,13.00,8666.67,3.00,2.00,0,0,0,1,5,4,4,4,9,5,1
415,0,0,1,25.00,0.00,100.00,12.00,4050,2.00,2.00,0,0,0,0,5,23,2,4,9,7,1
416,0,4,0,50.00,0.00,0.00,12.00,4050,2.00,2.00,0,0,0,0,4,23,3,4,9,7,1
417,1,2,8,48.57,25.66,57.92,10.00,5666.67,0.00,0.00,0,0,0,1,5,4,1,2,8,9,1
418,0,1,15,54.29,44.71,0.00,10.50,33250,0.00,0.00,0,0,0,1,6,6,3,4,9,5,1
419,0,2,6,35.71,16.26,63.29,10.00,4166.67,2.00,0.00,0,0,0,0,5,23,1,2,8,10,1
420,0,0,1,67.00,65.00,55.34,11.00,25263.33,2.00,1.00,1,0,0,1,5,4,2,2,8,11,10
421,0,0,1,69.01,0.00,77.80,11.00,18186.67,2.00,1.00,1,2,1,1,5,4,2,2,8,8,10
422,0,1,9,64.71,65.00,639.17,11.00,35154.17,1.00,1.00,1,0,0,1,5,4,2,2,8,11,10
423,0,1,9,59.67,64.97,591.67,11.00,32541.67,1.00,1.00,1,0,0,1,5,4,2,2,8,11,10
424,0,4,0,50.00,0.00,0.00,12.00,22080,2.50,2.00,1,0,0,0,6,6,3,2,8,8,10
425,1,0,2,64.00,67.80,80.00,13.00,2166.67,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
426,1,0,1,74.55,57.65,68.73,10.00,1633.33,4.00,0.00,1,0,0,1,4,23,0,2,6,15,1
427,0,2,9,75.68,68.04,73.46,10.00,15875,1.00,0.00,0,0,0,1,4,23,2,2,8-,12,1
428,1,0,1,79.70,65.57,61.68,10.00,6283.33,1.25,0.00,1,0,0,0,4,23,0,3,5-,17,10
429,0,0,1,21.93,9.46,13.08,10.00,4166.67,1.00,0.00,0,0,2,1,6,6,1,2,8,9,1
430,0,0,1,22.84,9.51,13.15,10.00,4083.33,1.00,0.00,0,0,2,1,6,6,1,2,8,9,1
431,1,3,1,70.00,65.17,69.98,10.00,7875,1.00,0.00,0,2,0,0,6,6,0,3,8,11,1
432,0,0,2,65.00,0.00,0.00,13.00,2112.5,1.00,2.00,0,2,1,1,5,4,4,4,9,3,1
433,0,0,2,67.80,0.00,0.00,13.00,1505.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
434,0,0,1,68.00,0.00,0.00,13.00,1473.33,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
435,0,0,1,65.71,66.27,33.32,12.00,2750,3.00,2.00,1,0,0,1,3,03,2,2,8-,13,1
436,0,0,1,69.47,0.00,49.31,10.75,591.25,2.00,0.00,1,0,0,1,3,03,1,2,6,14,1
437,0,4,0,46.95,0.00,0.00,12.00,3850,4.00,2.00,0,0,0,0,5,4,1,2,8,9,1
438,0,0,1,70.00,0.00,0.00,10.50,3246.25,1.00,0.00,0,0,1,0,4,23,1,2,8,11,1
439,1,0,1,76.50,56.62,68.27,10.00,1533.33,3.00,0.00,1,0,0,1,6,6,0,2,8-,12,1
440,0,0,1,65.00,28.26,43.33,12.00,13000,0.10,2.00,0,0,0,1,6,6,2,3,8,10,1
441,1,4,0,50.00,0.00,50.00,12.00,7000,1.50,2.00,0,0,0,0,6,6,0,2,8,10,1
442,0,1,10,28.00,50.00,55.56,12.00,35000,1.50,2.00,0,0,0,1,6,6,2,2,9,7,1
443,0,1,3,70.00,0.00,63.14,10.00,6708.33,2.00,0.00,0,2,1,0,4,23,0,3,8-,12,10
444,1,0,3,66.24,58.48,59.44,10.00,10233.33,1.00,0.00,0,0,0,1,5,4,0,3,8-,13,1
445,1,3,1,49.23,50.10,71.60,12.00,49600,2.00,2.00,1,2,1,0,4,23,2,2,9,7,1
446,0,0,1,70.00,20.44,84.85,10.50,6125,1.00,0.00,0,0,0,1,5,4,2,2,8,11,1
447,0,0,1,69.98,23.72,38.89,10.50,17850,1.00,0.00,0,0,0,1,5,4,2,2,8,8,1
448,1,0,1,78.40,66.06,49.71,10.00,8533.33,2.00,0.00,0,0,0,0,4,23,1,2,8-,13,1
449,1,0,1,78.33,65.24,50.79,10.00,1141.67,2.00,0.00,1,0,0,1,5,4,0,3,6,15,1
450,1,0,1,77.50,60.91,77.91,10.00,1116.67,2.00,0.00,1,0,0,1,5,4,0,3,6,15,1
451,1,2,63,80.00,65.00,46.30,10.00,12783.33,2.00,0.00,1,1,0,1,5,4,2,4,8-,12,1
452,0,2,232,88.48,44.52,24.59,12.00,18920,2.00,2.00,1,0,0,1,4,23,2,4,8-,12,1
453,0,2,47,23.48,0.00,534.48,13.00,16791.67,3.00,2.00,0,2,1,1,5,4,4,4,9,5,1
454,0,0,2,70.00,54.29,76.00,13.00,2058.33,3.00,2.00,0,0,2,1,5,4,4,4,9,6,1
455,0,0,2,70.00,54.29,76.00,13.00,2058.33,3.00,2.00,0,0,2,1,5,4,4,4,9,6,1
456,1,0,1,75.56,65.52,55.88,12.00,950,5.80,2.00,1,0,0,0,3,03,0,3,5-,17,1
457,1,0,4,78.86,68.00,67.96,10.00,2408.33,3.00,0.00,1,2,0,0,4,23,0,3,6,14,1
458,1,0,1,74.91,63.38,68.55,9.50,3261.67,1.00,0.00,0,0,0,0,5,4,1,2,8-,12,1
459,1,1,181,33.65,8.02,21.45,11.75,46020.83,1.00,1.00,0,0,0,0,5,4,2,2,9,7,1
460,0,2,20,13.16,0.00,344.83,13.00,10833.33,3.00,2.00,0,2,1,1,5,4,4,4,9,5,1
461,0,2,6,75.00,37.31,49.99,10.00,3358.33,1.50,0.00,0,0,0,1,5,4,1,2,8-,12,1
462,0,0,3,65.08,0.00,0.00,13.00,2220.83,3.00,2.00,0,0,1,1,5,4,4,4,9,5,1
463,0,0,2,68.06,0.00,0.00,13.00,2470,3.00,2.00,0,0,1,1,5,4,4,4,9,5,1
464,0,0,2,68.42,0.00,390.00,13.00,2112.5,3.00,2.00,0,0,1,1,5,4,4,4,9,5,1
465,1,0,1,80.00,64.16,66.77,10.00,2700,3.00,0.00,1,0,0,1,6,6,0,3,6,15,1
466,1,0,2,79.62,65.71,73.55,10.00,1533.33,4.12,0.00,0,0,0,0,4,23,0,3,8-,13,1
467,0,0,1,50.48,48.94,83.13,11.75,3857.92,2.00,1.00,1,0,0,1,6,6,0,3,8-,12,1
468,1,3,1,67.73,65.62,79.98,12.00,12960,2.50,2.00,0,0,0,0,5,4,1,2,8,11,1
469,0,0,2,70.00,54.29,93.67,13.00,2058.33,3.00,2.00,0,0,0,1,5,4,4,4,9,7,1
470,0,0,2,66.10,0.00,390.00,13.00,2112.5,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
471,0,4,0,74.86,61.70,85.99,11.00,3263.33,2.00,1.00,0,0,0,0,4,23,1,2,8-,13,1
472,0,0,1,51.11,49.82,71.09,11.75,3975.42,2.00,1.00,1,0,0,1,5,4,0,2,8-,12,1
473,0,1,3,66.14,0.00,137.46,13.00,2285.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
474,0,0,1,62.99,0.00,128.66,13.00,2285.83,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
